Java HotSpot(TM) Client VM (25.101-b13) for windows-x86 JRE (1.8.0_101-b13), built on Jun 22 2016 00:45:44 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8299396k(1884572k free), swap 13394472k(2597324k free)
CommandLine flags: -XX:InitialHeapSize=16777216 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation 
4.594: [GC (Allocation Failure) 4.594: [DefNew: 6332K->142K(6336K), 0.0040516 secs] 18518K->12834K(20288K), 0.0041648 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
4.602: [GC (Allocation Failure) 4.602: [DefNew: 5760K->189K(6336K), 0.0009480 secs] 18452K->12881K(20288K), 0.0009979 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.608: [GC (Allocation Failure) 4.608: [DefNew: 5805K->186K(6336K), 0.0009469 secs] 18497K->12878K(20288K), 0.0009975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.610: [GC (Allocation Failure) 4.610: [DefNew: 5792K->195K(6336K), 0.0008442 secs] 18484K->12887K(20288K), 0.0008911 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.612: [GC (Allocation Failure) 4.612: [DefNew: 5783K->203K(6336K), 0.0015318 secs] 18474K->12895K(20288K), 0.0016475 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
4.615: [GC (Allocation Failure) 4.615: [DefNew: 5812K->210K(6336K), 0.0010460 secs] 18504K->12902K(20288K), 0.0010935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.624: [GC (Allocation Failure) 4.624: [DefNew: 5842K->42K(6336K), 0.0008810 secs] 18534K->12734K(20288K), 0.0009222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.705: [GC (Allocation Failure) 4.705: [DefNew: 5674K->625K(6336K), 0.0023433 secs] 18366K->13317K(20288K), 0.0023992 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
4.768: [GC (Allocation Failure) 4.768: [DefNew: 6257K->524K(6336K), 0.0035371 secs] 18949K->13445K(20288K), 0.0036534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.840: [GC (Allocation Failure) 4.840: [DefNew: 6156K->480K(6336K), 0.0030261 secs] 19077K->13659K(20288K), 0.0030770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.905: [GC (Allocation Failure) 4.905: [DefNew: 6112K->703K(6336K), 0.0035969 secs] 19291K->14383K(20288K), 0.0036782 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
5.110: [GC (Allocation Failure) 5.110: [DefNew: 6335K->687K(6336K), 0.0024242 secs]5.113: [Tenured: 14135K->13566K(14208K), 0.0389470 secs] 20015K->13566K(20544K), [Metaspace: 22696K->22696K(23936K)], 0.0415530 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
15.025: [GC (Allocation Failure) 15.025: [DefNew: 9122K->1088K(10240K), 0.0032706 secs] 22689K->15453K(32852K), 0.0033282 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.097: [GC (Allocation Failure) 15.097: [DefNew: 10240K->921K(10240K), 0.0040158 secs] 24605K->16342K(32852K), 0.0040672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.172: [GC (Allocation Failure) 15.172: [DefNew: 10073K->853K(10240K), 0.0022468 secs] 25494K->16461K(32852K), 0.0022985 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.246: [GC (Allocation Failure) 15.246: [DefNew: 10005K->925K(10240K), 0.0028961 secs] 25613K->16653K(32852K), 0.0029570 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.314: [GC (Allocation Failure) 15.314: [DefNew: 10077K->793K(10240K), 0.0022015 secs] 25805K->16683K(32852K), 0.0022512 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.390: [GC (Allocation Failure) 15.390: [DefNew: 9945K->963K(10240K), 0.0023338 secs] 25835K->16998K(32852K), 0.0023812 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.474: [GC (Allocation Failure) 15.475: [DefNew: 10115K->1016K(10240K), 0.0039241 secs] 26150K->17151K(32852K), 0.0040092 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.549: [GC (Allocation Failure) 15.549: [DefNew: 10168K->872K(10240K), 0.0027246 secs] 26303K->17403K(32852K), 0.0027760 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.613: [GC (Allocation Failure) 15.613: [DefNew: 10024K->766K(10240K), 0.0024496 secs] 26555K->17376K(32852K), 0.0025025 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.698: [GC (Allocation Failure) 15.698: [DefNew: 9918K->853K(10240K), 0.0032478 secs] 26528K->17609K(32852K), 0.0033231 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.767: [GC (Allocation Failure) 15.767: [DefNew: 10005K->830K(10240K), 0.0043980 secs] 26761K->17860K(32852K), 0.0045197 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.898: [GC (Allocation Failure) 15.898: [DefNew: 9982K->791K(10240K), 0.0027211 secs] 27012K->18004K(32852K), 0.0027853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.980: [GC (Allocation Failure) 15.980: [DefNew: 9943K->1045K(10240K), 0.0028246 secs] 27156K->18330K(32852K), 0.0028916 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.052: [GC (Allocation Failure) 16.052: [DefNew: 10197K->1010K(10240K), 0.0038091 secs] 27482K->18517K(32852K), 0.0038674 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.130: [GC (Allocation Failure) 16.130: [DefNew: 10162K->846K(10240K), 0.0042899 secs] 27669K->18468K(32852K), 0.0043616 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.226: [GC (Allocation Failure) 16.226: [DefNew: 9998K->906K(10240K), 0.0039785 secs] 27620K->18895K(32852K), 0.0040713 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.398: [GC (Allocation Failure) 16.398: [DefNew: 10058K->612K(10240K), 0.0037154 secs] 28047K->19026K(32852K), 0.0038255 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.476: [GC (Allocation Failure) 16.476: [DefNew: 9764K->822K(10240K), 0.0048570 secs] 28178K->19521K(32852K), 0.0049179 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
16.555: [GC (Allocation Failure) 16.555: [DefNew: 9974K->943K(10240K), 0.0045833 secs] 28673K->20076K(32852K), 0.0046770 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.644: [GC (Allocation Failure) 16.644: [DefNew: 10095K->822K(10240K), 0.0050298 secs] 29228K->20369K(32852K), 0.0051108 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
16.717: [GC (Allocation Failure) 16.717: [DefNew: 9974K->949K(10240K), 0.0047513 secs] 29521K->21018K(32852K), 0.0048156 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
16.781: [GC (Allocation Failure) 16.781: [DefNew: 10101K->802K(10240K), 0.0046623 secs] 30170K->21421K(32852K), 0.0047224 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
16.881: [GC (Allocation Failure) 16.881: [DefNew: 9954K->1087K(10240K), 0.0046252 secs] 30573K->22213K(32852K), 0.0046921 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
16.962: [GC (Allocation Failure) 16.962: [DefNew: 10239K->707K(10240K), 0.0061126 secs] 31365K->22288K(32852K), 0.0061940 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.554: [GC (Allocation Failure) 30.554: [DefNew: 9859K->1087K(10240K), 0.0062206 secs] 31440K->23260K(32852K), 0.0062810 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
30.652: [GC (Allocation Failure) 30.652: [DefNew: 10239K->1088K(10240K), 0.0044981 secs]30.657: [Tenured: 22843K->17027K(22868K), 0.0586984 secs] 32412K->17027K(33108K), [Metaspace: 35672K->35672K(37248K)], 0.0634392 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
33.117: [GC (Allocation Failure) 33.117: [DefNew: 11392K->1408K(12800K), 0.0055015 secs] 28419K->18487K(41180K), 0.0055607 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
33.245: [GC (Allocation Failure) 33.245: [DefNew: 12800K->1407K(12800K), 0.0089591 secs] 29879K->19378K(41180K), 0.0091073 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
77.703: [GC (Allocation Failure) 77.703: [DefNew: 12799K->1408K(12800K), 0.0170964 secs] 30770K->23573K(41180K), 0.0172254 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
77.951: [GC (Allocation Failure) 77.952: [DefNew: 12800K->1408K(12800K), 0.0173752 secs]77.969: [Tenured: 29851K->29915K(29916K), 0.1151569 secs] 34965K->30099K(42716K), [Metaspace: 37332K->37332K(39296K)], 0.1329267 secs] [Times: user=0.14 sys=0.00, real=0.13 secs] 
78.661: [GC (Allocation Failure) 78.661: [DefNew: 19968K->2496K(22464K), 0.0257393 secs] 49883K->40610K(72324K), 0.0259233 secs] [Times: user=0.00 sys=0.01, real=0.03 secs] 
82.256: [GC (Allocation Failure) 82.257: [DefNew: 22464K->1227K(22464K), 0.0170900 secs] 60578K->41407K(72324K), 0.0173963 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
84.541: [GC (Allocation Failure) 84.542: [DefNew: 21195K->1146K(22464K), 0.0071864 secs] 61375K->41326K(72324K), 0.0074705 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
